"treatment_name","age_range","duration","sample_size"
"Memantine ER","6-12 years; Mean: 9 years","12 weeks ","121"
"Metformin hydrochloride (Riomet)","6-17 y; M= 12.8 y (SD: 2.7)","16 weeks","60"
"Methylphenidate","5-14 y ","13 weeks. 1-wk test-dose phase, 4-wk randomized, placebo-controlled, double blind crossover phase, and 8-wk open-label continuation.","66"
"Methylphenidate","5.6-11.2 y (m: 7.4 y)","3 weeks","13"
"Methylphenidate","7.1-12.7 y (m: 8.8 y, SD: 1.7)","4 weeks","24"
"Methylphenidate","7-11 y (m: 8.5 y SD: 1.3)","6 weeks","10"
"Mirtazapine","5-17","10 week","30"
"Oxytocin, multiple dose","Mean: 24.5 years ","4 weeks of treatment; 4 week follow up and 1 yr follow up (60 weeks total)","40"
"N-Acetylcysteine (NAC)","3.1-9.9 y","6 months","102"
"Naltrexone","2.9-7.8 y","6 weeks","41"
"Naltrexone","2.9-7.8 y","6 weeks","41"
"Olanzapine","6-14 y","8 weeks","11"
"Omega-3 Fatty Acids","3-8 years; Mean 5.8 years","12 weeks","27"
"N-Acetylcysteine (NAC), oral","3-10 y, Mean: 7 y","12 weeks","33"
"Oxytocin","3-17 y (mean: 10.4 y SD: 4.0)","24 weeks","277"
"Oxytocin ","18-48 y","6 weeks","106"
"Pentoxifylline + Risperidone","4-12 y","10 weeks","40"
"Piracetam + Risperidone","3-11 y; Mean: 6.8 y","10 weeks ","40"
"Prebiotic + exclusion diet","4-11 y; mean: 7.7 y","6 weeks","41"
"Probiotics","3-12 years","8 weeks ","13"
"Probiotics (visbiome/vivomixx)","3-12 y; Mean: 8.8 y","19 weeks","13"
"Probiotics (visbiome/vivomixx)","18-72 mo; mean: 4.2 y","6 months","85"
"Probiotics","4-16 y","3 weeks","62"
"Probiotics (Lactobacillus plantarum PS128)","7-15 y (mean: 10.01 SD: 2.32)","4 weeks","80"
"Melatonin, Prolonged Release ","2-17.5 y; Mean: 8.7 y (SD: 4.15)","13 weeks","125"
"Melatonin, Prolonged-release ","2-17 y; Mean: 8.7 (SD: 4.15 y)","13 weeks","125"
"Propranolol","7-35 y (11 children, 15 adolescents, 4 adults)","2.5 years","30"
"rTMS","16-35 y ","4-weeks (20-session)","40"
"Repetitive transcranial magnetic stimulation (rTMS)","16-35 years","4 weeks","40"
"Resveratrol + risperidone","mean (resveratrol): 7.8 y (SD:2.1); mean (placebo): 8.1 y (SD: 1.9)","10 weeks","62"
"Riluzole","13.1-18.45 y; mean: 16.02 y","12 weeks ","8"
"Riluzole + Risperidone","5-12 y; mean: 7.6-8.4 y","10 weeks","49"
"Risperidone","5-18 y","8 weeks","38"
"Risperidone ","5-17 y; Mean: 8.8 y","8 weeks ","101"
"Risperidone + Buspirone","","8 weeks ","40"
"Risperidone + NAC","3.5-16 y; mean: 7.9-8.8 y","8 weeks","40"
"Risperidone + NAC","4-12 y","10 weeks ","50"
"Risperidone + Topiramate ","4-12 y ","8 weeks ","40"
"Risperidone v. Haloperidol","8-18 y","12 weeks ","30"
"Sertraline","2-6 y","6 months","58"
"Sulforaphane ","13-27 y; Mean: 17 y","27 weeks total (4 wk washout)","44"
"Tetrahydrobiopterin (BH4)","3-7 y, Mean: 12 y","16 weeks","46"
"Transcranial direct current stimulation (tDCS)","2-6 y","3 weeks","40"
"Transcranial magnetic stimulation (rTMS) with language therapy","3-10 y (mean: 5-6 y)","4 weeks","30"
"Valproate ","6-20 y; Mean: 11.2 y","8 weeks","30"
"Vitamin D and Omega-3 Fatty Acids","2.5-8 y; Mean= 5.2y (SD: 1.4)","1 year ","117"
"Venlafaxine + clonazepam and/or zuclopenthixol","","8 weeks","13"
"Vasopressin (intranasal)","6-12 y (mean: 9.14-9.86 y)","4 weeks","30"
"Propentofylline + risperidone","","10 weeks","48"
