"treatment_id","outcome_type","area","measures","results"
"7","primary","Irritability","Aberrant Behavior Checklist-Irritability subscale (ABC-I) Scores","""Aripiprazole was effective at reducing irritability in children and adolescents"". The mean ABC-I score for the groups treated with Aripiprazole was significantly lower at week 8 than the placebo group. "
"8","primary","Irritability","Aberrant Behavior Checklist-Irritability subscale (ABC-I) Scores","""Aripiprazole was effective at reducing irritability in children and adolescents"". The mean ABC-I score for the groups treated with Aripiprazole was significantly lower at week 8 than the placebo group. "
"5","primary","Irritability","Caregiver rated ABC-irritability subscale","""Aripiprazole was significantly more efficacious than placebo at treating irrtability� on the caregiver-rated ABC irritability subscale."""
"6","primary","Irritability","Caregiver rated ABC-irritability subscale","""Aripiprazole was significantly more efficacious than placebo at treating irrtability� on the caregiver-rated ABC irritability subscale."""
"7","primary","Irritability","Caregiver rated ABC-irritability subscale","""Aripiprazole was significantly more efficacious than placebo at treating irrtability� on the caregiver-rated ABC irritability subscale."""
"8","primary","Irritability","Caregiver rated ABC-irritability subscale","""Aripiprazole was significantly more efficacious than placebo at treating irrtability� on the caregiver-rated ABC irritability subscale."""
"9","primary","Irritability","Irritability and agitation. Aberrant Behavior Checklist (ABC) scores","Both treatments lowered ABC scores with decreased irritability and agitation. "
"10","primary","severity. irritability","ABC irritability; CGI","psychiatric measures: All patients significantly improved on the ABC-irritability. Improvement was greater in the risperidone group. Significant improvement on CGI-S scores for both groups. 78% of patients were rated as very much or much improved on the CGI-I at 10 weeks, and all patients were rated as very much or much improved at the end of the extension phase. "
"11","primary","Attention and hyperactivity.","Attention and hyperactivity. ADHD Rating Scale (ADHD-RS)","The scores improved significantly. "
"12","primary","Attention and hyperactivity.","Attention and hyperactivity. ADHD Rating Scale (ADHD-RS)","The scores improved significantly. "
"13","primary","Attention and hyperactivity.","Attention and hyperactivity. ADHD Rating Scale (ADHD-RS)","The scores improved significantly. "
"11","primary","ADHD symptoms","ADHD Rating scale ","ADHD-RS scores improved in the atomoxetine tx group (40.7 to 31.6) compared to placebo."
"12","primary","ADHD symptoms","ADHD Rating scale ","ADHD-RS scores improved in the atomoxetine tx group (40.7 to 31.6) compared to placebo."
"13","primary","ADHD symptoms","ADHD Rating scale ","ADHD-RS scores improved in the atomoxetine tx group (40.7 to 31.6) compared to placebo."
"11","primary","ADHD symptoms","parent-rated DSM ADHD symptoms on the SNAP scale and HSQ","On the SNAP, Atomoxetine with and w/o parent training, and placebo w/ parent training, were superior to placebo. Atomoxetine tx groups had superior scores for non compliance. "
"12","primary","ADHD symptoms","parent-rated DSM ADHD symptoms on the SNAP scale and HSQ","On the SNAP, Atomoxetine with and w/o parent training, and placebo w/ parent training, were superior to placebo. Atomoxetine tx groups had superior scores for non compliance. "
"13","primary","ADHD symptoms","parent-rated DSM ADHD symptoms on the SNAP scale and HSQ","On the SNAP, Atomoxetine with and w/o parent training, and placebo w/ parent training, were superior to placebo. Atomoxetine tx groups had superior scores for non compliance. "
"14","primary","Irritability","ABC-irritability","Baclofen adjuvant risperidone treatment showed significant improvement in ABC-irritability scores, as well as all other subscales. Specifically hyperactivity (refer to secondary results)."
"15","primary","Irritability","ABC-irritability","Baclofen adjuvant risperidone treatment showed significant improvement in ABC-irritability scores, as well as all other subscales. Specifically hyperactivity (refer to secondary results)."
"14","primary","Irritability","ABC-irritability","Baclofen adjuvant risperidone treatment showed significant improvement in ABC-irritability scores, "
"15","primary","Irritability","ABC-irritability","Baclofen adjuvant risperidone treatment showed significant improvement in ABC-irritability scores, "
"16","primary","Social communication","Vineland-II 2DC","No significant improvement in any outcome measures."
"17","primary","ASD Severity","CARS scores","The group treated with Bumetanide had a significately lower score on the CARS test at endpoint, when removing the most severe cases of ASD in this group. This group shifted from extreme severity to mild/moderate severity. "
"18","primary","ASD Severity","CARS scores","The group treated with Bumetanide had a significately lower score on the CARS test at endpoint, when removing the most severe cases of ASD in this group. This group shifted from extreme severity to mild/moderate severity. "
"19","primary","ASD Severity","CARS scores","The group treated with Bumetanide had a significately lower score on the CARS test at endpoint, when removing the most severe cases of ASD in this group. This group shifted from extreme severity to mild/moderate severity. "
"17","primary","ASD Severity","CARS","Bumetanide treatment improved CARS scores. "
"18","primary","ASD Severity","CARS","Bumetanide treatment improved CARS scores. "
"19","primary","ASD Severity","CARS","Bumetanide treatment improved CARS scores. "
"17","primary","Severity of social communication and social interaction symptoms","SRS-2 total score","No significant treatment effect for SRS-2 total scores. However, there was a significant treatment-by-age effect on the SRS-2."
"18","primary","Severity of social communication and social interaction symptoms","SRS-2 total score","No significant treatment effect for SRS-2 total scores. However, there was a significant treatment-by-age effect on the SRS-2."
"19","primary","Severity of social communication and social interaction symptoms","SRS-2 total score","No significant treatment effect for SRS-2 total scores. However, there was a significant treatment-by-age effect on the SRS-2."
"20","primary","Irritability","ABC ","Irritability scores decreased in both groups. "
"21","primary","Restricted and repetitive behavior","ADOS Composite Total Score (ADOS-CTS)","Significant improvement with time but no difference in scores between baseline and end of trial across the 3 treatment groups. "
"22","primary","Behavioral problems","Home Situation Questionnaire-ASD (HSQ-ASD); CGI improvement (CGI-I) with disruptive behavior anchor points","CGI-I was either much or very much improved in 49% of participants receiving whole-plant canninoids. Pure cannibinoid and placebo groups did not have signifcant effects on the CGI-I. HSQ-ASD did not have differences in any groups. "
"23","primary","Irritability","ABC-C irritability","Combination of risperidone and celecoxib showed greater improvement in irritability."
"24","primary","","Clinical Global Impressions, Improvement subscale scores","No significant differences in improvement of scores between placebo and citalopram treatment groups. "
"25","primary","Behavior and communication skills","Global Behaviour Rating Scale (GBRS); Language Development Survery (LDS); Therapist Rating Scale (therapist engagement)","No effect of enzyme treatment on LDS vocabulary or sentence complexity scores, parent behaviour, or therapist engagement. "
"26","primary","Irritability","CGI-I for irritability and ABC-Community, Irritability subscale","CGI Scores indicate that ""subjects receiving treatment with divalproex sodium are over 16 times more likely to respond to treatment than... placebo"".  Significant weeks x condition interaction on the ABC-I. The effects seem stronger in the tx groups, as the ABC-I scores dropped significantly more than the placebo group. "
"27","primary","Speech","","Improvements in expressive and repetitive speech"
"28","primary","Speech","","Improvements in expressive and repetitive speech"
"27","primary","","","No significant improvements in the donepezil tx group compared to the placebo group."
"28","primary","","","No significant improvements in the donepezil tx group compared to the placebo group."
"29","primary","Neurochemical effects and behavior","Ritvo-Freeman Real Life Rating Scale; neurochemical plasma levels ","No significant improvement in behavior. Changes in catecholamine regulation might be related to fenfluramine in plasma. Increase in DOPAC. Decreases in whole-blood 5-HT during trial. Decreases in plasma NE until as long as 8 weeks after trial.  "
"30","primary","Neurochemical effects and behavior","Ritvo-Freeman Real Life Rating Scale; neurochemical plasma levels ","No significant improvement in behavior. Changes in catecholamine regulation might be related to fenfluramine in plasma. Increase in DOPAC. Decreases in whole-blood 5-HT during trial. Decreases in plasma NE until as long as 8 weeks after trial.  "
"29","primary","Urinary dopamine metabolities ","Responsiveness to fenfluramine and associated urinary levels of serotonin, dopamine (DA), and DA metabolites: HVA and Dihydroxyphenylacetic acid (DOPAC)","Both placebo and fenfluramine treatment groups showed a significant decrease of of 5-HT in urine. Fenfluramine increased HVA levels (major metabolite of dopamine) in responders. The clinical response to fenfluramine treatment could be related to dopaminergic action of this medication and urinary levels of dopamine metabolites could indicate this responsiveness."
"30","primary","Urinary dopamine metabolities ","Responsiveness to fenfluramine and associated urinary levels of serotonin, dopamine (DA), and DA metabolites: HVA and Dihydroxyphenylacetic acid (DOPAC)","Both placebo and fenfluramine treatment groups showed a significant decrease of of 5-HT in urine. Fenfluramine increased HVA levels (major metabolite of dopamine) in responders. The clinical response to fenfluramine treatment could be related to dopaminergic action of this medication and urinary levels of dopamine metabolites could indicate this responsiveness."
"31","primary","Repetitive behaviors.","Yale Brown Obessive Compulsive Scale (YBOCS); CGI improvement for repetitive behaviors","Fluoxetine resulted in 'significantly greater improvements in repetitive behaviors'. "
"32","primary","Repetitive behaviors.","Yale Brown Obessive Compulsive Scale (YBOCS); CGI improvement for repetitive behaviors","Fluoxetine resulted in 'significantly greater improvements in repetitive behaviors'. "
"33","primary","Repetitive behaviors.","Yale Brown Obessive Compulsive Scale (YBOCS); CGI improvement for repetitive behaviors","Fluoxetine resulted in 'significantly greater improvements in repetitive behaviors'. "
"34","primary","Repetitive behaviors.","Yale Brown Obessive Compulsive Scale (YBOCS); CGI improvement for repetitive behaviors","Fluoxetine resulted in 'significantly greater improvements in repetitive behaviors'. "
"31","primary","","fMRI during a reward reversal task -- mPFC (reward) activity in ASD","In fluoxetine tx ASD pts, mPFC activation was up-regulated and normalized, and decreased insula activation. Fluoxetine has ""disorder-dissociative, inverse modulation effects on a key region of reward reversal""."
"32","primary","","fMRI during a reward reversal task -- mPFC (reward) activity in ASD","In fluoxetine tx ASD pts, mPFC activation was up-regulated and normalized, and decreased insula activation. Fluoxetine has ""disorder-dissociative, inverse modulation effects on a key region of reward reversal""."
"33","primary","","fMRI during a reward reversal task -- mPFC (reward) activity in ASD","In fluoxetine tx ASD pts, mPFC activation was up-regulated and normalized, and decreased insula activation. Fluoxetine has ""disorder-dissociative, inverse modulation effects on a key region of reward reversal""."
"34","primary","","fMRI during a reward reversal task -- mPFC (reward) activity in ASD","In fluoxetine tx ASD pts, mPFC activation was up-regulated and normalized, and decreased insula activation. Fluoxetine has ""disorder-dissociative, inverse modulation effects on a key region of reward reversal""."
"31","primary","Obsessive-compulsive/repetitive behaviors",". Total score on CYBOCS-PDD","Treatment with fluoxetine resulted in significantly lower scores for obsessive-compulsive behaviors at the end of the trial. "
"32","primary","Obsessive-compulsive/repetitive behaviors",". Total score on CYBOCS-PDD","Treatment with fluoxetine resulted in significantly lower scores for obsessive-compulsive behaviors at the end of the trial. "
"33","primary","Obsessive-compulsive/repetitive behaviors",". Total score on CYBOCS-PDD","Treatment with fluoxetine resulted in significantly lower scores for obsessive-compulsive behaviors at the end of the trial. "
"34","primary","Obsessive-compulsive/repetitive behaviors",". Total score on CYBOCS-PDD","Treatment with fluoxetine resulted in significantly lower scores for obsessive-compulsive behaviors at the end of the trial. "
"31","primary","repetitve behaviors and global improvement","CY-BOCS and CGI-AD composite scores","Combined CY-BOCS and CGI-AD scores lead to a trend in a reduction of ASD severity."
"32","primary","repetitve behaviors and global improvement","CY-BOCS and CGI-AD composite scores","Combined CY-BOCS and CGI-AD scores lead to a trend in a reduction of ASD severity."
"33","primary","repetitve behaviors and global improvement","CY-BOCS and CGI-AD composite scores","Combined CY-BOCS and CGI-AD scores lead to a trend in a reduction of ASD severity."
"34","primary","repetitve behaviors and global improvement","CY-BOCS and CGI-AD composite scores","Combined CY-BOCS and CGI-AD scores lead to a trend in a reduction of ASD severity."
"35","primary","Repetitive behaviors, and aggression.","Repetitive thoughts and behaviors, and aggression. Clinical Global Impressions- Improvement (CGI-I)","Fluvoxamine is more effective than placebo in reducing repetitive thoughts and behaviors, maladaptive behavior, and aggression. Improved some aspects of social relatedness. "
"36","primary","Repetitive behaviors, and aggression.","Repetitive thoughts and behaviors, and aggression. Clinical Global Impressions- Improvement (CGI-I)","Fluvoxamine is more effective than placebo in reducing repetitive thoughts and behaviors, maladaptive behavior, and aggression. Improved some aspects of social relatedness. "
"37","primary","Repetitive behaviors, and aggression.","Repetitive thoughts and behaviors, and aggression. Clinical Global Impressions- Improvement (CGI-I)","Fluvoxamine is more effective than placebo in reducing repetitive thoughts and behaviors, maladaptive behavior, and aggression. Improved some aspects of social relatedness. "
"35","primary","Molecular genetic analysis","efficacy of fluvoxamine and serotonin transporter gene (5-HTTLPR) polymorphism","5-HTTLPR long (l) or short (s) alleles might influence fluvoxamine behavior response. "
"36","primary","Molecular genetic analysis","efficacy of fluvoxamine and serotonin transporter gene (5-HTTLPR) polymorphism","5-HTTLPR long (l) or short (s) alleles might influence fluvoxamine behavior response. "
"37","primary","Molecular genetic analysis","efficacy of fluvoxamine and serotonin transporter gene (5-HTTLPR) polymorphism","5-HTTLPR long (l) or short (s) alleles might influence fluvoxamine behavior response. "
"35","primary","Genetic polymorphism in patients w/ autistic disorders","Three genotypes (1/1, 1/s, s/s) based on Polymerase chain rxn (PCR) products on a stained gel. ",""
"36","primary","Genetic polymorphism in patients w/ autistic disorders","Three genotypes (1/1, 1/s, s/s) based on Polymerase chain rxn (PCR) products on a stained gel. ",""
"37","primary","Genetic polymorphism in patients w/ autistic disorders","Three genotypes (1/1, 1/s, s/s) based on Polymerase chain rxn (PCR) products on a stained gel. ",""
"38","primary","Verbal communication.","Verbal Communication. CELF-preschool-2, CELF-4, PLS-5","Verbal communication improvement was significantly greater in the folinic acid tx group. "
"39","primary","Social behaviors and inappropriate speech. ","Inappropriate speech subscale of ABC-C","Inappropriate speech subscale score showed more improvement in the folinic acid group compared to placebo (both w/ risperidone). Significant time x treatment effect on the inappropriate speech subscale."
"40","primary","","ABC","Significant improvement compared to placebo on the ABC irritability, eye contact, hyperactivity, and inappropriate speech. "
"40","primary","Lethargy/social withdrawal.","","Significant improvements in lethargy/social withdrawal. "
"41","primary","Core symptoms of ASD.","ABC-C ","No subscales showed differences between treatment groups. Ginko adjuvant risperidone did affect treatment outcomes."
"42","primary","Hyperactivity",". Aberrant Behavior Checklist- Hyperactivity Subscale (ABC-H)","""Guanfacine was superior to placebo on the parent-rated Aberrant Behavior Checklist-hyperactivity subscale"" A 43.6% decline in the scores of the guanfacine group, compared to a 13.6% decrease in the placebo group. "
"43","primary","Stereotypy and social withdrawal.","Stereotypy and social withdrawal subscales of CPRS.","Haloperidol was superior to placebo on sterotypy and social withdrawal scores."
"44","primary","Stereotypy and social withdrawal.","Stereotypy and social withdrawal subscales of CPRS.","Haloperidol was superior to placebo on sterotypy and social withdrawal scores."
"43","primary","Withdrawal and stereotypy","CPRS","Haloperidol superior to placebo on all subscales of CPRS. No significant treatment benefit in irritability symptoms. "
"44","primary","Withdrawal and stereotypy","CPRS","Haloperidol superior to placebo on all subscales of CPRS. No significant treatment benefit in irritability symptoms. "
"45","primary","","Social function/cognition (Diagnositic Analysis of Nonverbal Accuracy) and repetitive behaviors (Repetitive Behavior Scale-Revised)","No significant changes in primary outcome measures. "
"46","primary","","Social function/cognition (Diagnositic Analysis of Nonverbal Accuracy) and repetitive behaviors (Repetitive Behavior Scale-Revised)","No significant changes in primary outcome measures. "
"45","primary","Social behaviors. ","Improvement in social abilities measured by the Social Responsiveness Scale (SRS).","Oxytocin significantly enhanced social abilities in participants. ""individuals with the lowest pretreatment OXT concentrations showed the greatest social improvement"""
"46","primary","Social behaviors. ","Improvement in social abilities measured by the Social Responsiveness Scale (SRS).","Oxytocin significantly enhanced social abilities in participants. ""individuals with the lowest pretreatment OXT concentrations showed the greatest social improvement"""
"47","primary","","ABC, Autism Bx Checklist, Vineland Bx Scales, PL-ADOS, or CARS","No significant results in diference between tx groups."
"48","primary","Sleep habits and autism severity.","Children's Sleep Habits Questionnaires and Gilliam Autism Rating Scale 2","Did not change autism severity. Signficantly reduced sleep duration, parasomnias, and total sleep disorders score by 7.59%."
"49","primary","Global improvement","CGI-I","No significant improvement."
"50","primary","","Childhood Autism Rating Scale (CARS), hand muscle testing, and modified clinical global impression (CGI) forms","Significantly improved clinical measurements over time. "
"51","primary","Language, nonverbal cognition","3 language samples (storytelling); ADOS-2; Leiter-R; PPVT-4; EVT-2",""
"52","primary","Irritability, aggression, and SIB","Irritability, agitation, and/or self-injurous bx. Measured by the ABC-I","No change between tx groups for ABC-I scores. Not effacacious in short term tx of moderate-to-severe irritability. "
"53","primary","","Ohio Autism Clinical Impressions Scale (OACIS) and OARS-4 ","90% of the treatment group showed improvement, but only 40% sustained it. Better outcomes are more likely with lower mg/kg and longer medication duration.  Participants treated with a max dose of 0.13-0.15 mg/kg/d had a better outcome w/ sustained improvement, than those who regressed at doses ? 0.18mg/kg/d. "
"54","primary","Sleep onset latency","Sleep onset latency (SOL)","SOL shortened significantly in both melatonin groups compared to placebo group. However, SOL did not change in the subgroups: �female,�  �previous  history  of  ramelteon  treatment,�  and height ? 145 cm. 4-mg treatment shortened SOL in all participant subgroups. "
"55","primary","Irritability","ABC-C Irritability","Significantly greater reduction in irritability scores in memantine tx group than placebo."
"56","primary","Neurocognitive effects","measures of apraxia and expressive language","No improvements in apraxia or expressive language."
"57","primary","Social behaviors. ","SRS total raw score","No significant differences between memantine and placebo tx groups."
"58","primary","Treatment of weight gain from atypical antipsychotic use","BMI z score","Metformin was superior to placebo in reducing weight gain. 11% of metformin treatment participants had 8-9% declines in BMI. "
"59","primary","Hyperactivity","Teacher-rated hyperactivity subscale of ABC","Methylphenidate was superior to placebo on improvements in the primary outcome measure with small to medium effect sizes (0.20-0.54)"
"60","primary","Hyperactivity","Teacher-rated hyperactivity subscale of ABC","Methylphenidate was superior to placebo on improvements in the primary outcome measure with small to medium effect sizes (0.20-0.54)"
"61","primary","Hyperactivity","Teacher-rated hyperactivity subscale of ABC","Methylphenidate was superior to placebo on improvements in the primary outcome measure with small to medium effect sizes (0.20-0.54)"
"62","primary","Hyperactivity","Teacher-rated hyperactivity subscale of ABC","Methylphenidate was superior to placebo on improvements in the primary outcome measure with small to medium effect sizes (0.20-0.54)"
"59","primary","Hyperactivity","Conners' Teacher Rating Scale (CTRS); IOWA Conners' Teacher Rating Scale ",""
"60","primary","Hyperactivity","Conners' Teacher Rating Scale (CTRS); IOWA Conners' Teacher Rating Scale ",""
"61","primary","Hyperactivity","Conners' Teacher Rating Scale (CTRS); IOWA Conners' Teacher Rating Scale ",""
"62","primary","Hyperactivity","Conners' Teacher Rating Scale (CTRS); IOWA Conners' Teacher Rating Scale ",""
"59","primary","ADHD symptoms","Conners' Teacher Rating Scale - Revised - Short Form (CTRS-R-SF)","Methylphenidate decreased hyperactive and impulsive behavior at school and at home. "
"60","primary","ADHD symptoms","Conners' Teacher Rating Scale - Revised - Short Form (CTRS-R-SF)","Methylphenidate decreased hyperactive and impulsive behavior at school and at home. "
"61","primary","ADHD symptoms","Conners' Teacher Rating Scale - Revised - Short Form (CTRS-R-SF)","Methylphenidate decreased hyperactive and impulsive behavior at school and at home. "
"62","primary","ADHD symptoms","Conners' Teacher Rating Scale - Revised - Short Form (CTRS-R-SF)","Methylphenidate decreased hyperactive and impulsive behavior at school and at home. "
"59","primary","Not specified","CARS, ABC, CTQ hyperactivity, CAPQ","Methylphenidate treatment showed modest but statistically significant improvement in hyperactivity."
"60","primary","Not specified","CARS, ABC, CTQ hyperactivity, CAPQ","Methylphenidate treatment showed modest but statistically significant improvement in hyperactivity."
"61","primary","Not specified","CARS, ABC, CTQ hyperactivity, CAPQ","Methylphenidate treatment showed modest but statistically significant improvement in hyperactivity."
"62","primary","Not specified","CARS, ABC, CTQ hyperactivity, CAPQ","Methylphenidate treatment showed modest but statistically significant improvement in hyperactivity."
"63","primary","Anxiety","PARS; CGI-I","Significant within group decrease in anxiety on PARS. No improvement on CGI. "
"64","primary","Social behaviors. ","SRS-A (self and informant)","No treatment specific effects on core social behaviors as measured by SRS-A"
"65","primary","Social and repetitive behaviors. ","Social Responsiveness Scale, Children's Communication Checklist, and the Repetitive Behavior Scale-Revised","No differences in the scores for NAC and placebo groups. "
"66","primary","Aggression and self injurous behaviors (SIB).","Aggression and self injurous bx (SIB).","No improvements in SIB or core features of ASD."
"67","primary","Aggression and self injurous behaviors (SIB).","Aggression and self injurous bx (SIB).","No improvements in SIB or core features of ASD."
"66","primary","Attention and hyperactivity.","Attention and discrimination learning.","Significant decrease in hyperactivity on three measures, hyperactivity factor, restless/overactive item on the PTQ, and activity on the computer."
"67","primary","Attention and hyperactivity.","Attention and discrimination learning.","Significant decrease in hyperactivity on three measures, hyperactivity factor, restless/overactive item on the PTQ, and activity on the computer."
"68","primary","Irritability","CGI-I","Olanzapine was superior to placebo on CGI-I scores."
"69","primary","Hyperactivity","ABC Hyperactivity","No statistically significant changes in scores. Trends could show small to moderate improvements in hyperactivity with Omega fatty acids. "
"70","primary","Irritability","Aberrant Behavior Checklist-Irritability subscale (ABC-I) and DOTES","NAC treatment resulted in significant improvements in irritability scores. "
"71","primary","Social functioning","ABC modified Social Withdrawal subscale (ABC-mSW)","No significant difference between treatment grooups."
"72","primary","","ADOS; oxytocin plasma levels","Both placebo and oxytocin treatment groups had reduced scores, no treatment difference. Plasma oxytocin elevated over course of trial in oxt treatment group compared with placebo group."
"73","primary","Core symptoms of ASD","ABC-C","Pentoxifylline tx group had greater reduction in subscales for irritability, lethargy/social withdrawal, stereotypic bx, hyperactivity/noncompliance, inappropriate speech"
"74","primary","Core symptoms of ASD","ABC-C Rating Scale (total score) ","Scores improved with piracetam "
"75","primary","Social behaviors and anxiety","ATEC (anti-sociability); AQ (social skills); EQ-Sq; SCAS-P","Overall severity of behavioral traits were not significantly affected. However, reduced anti-social behavior in concurrent with an improvement in social skill scores were seen in children on the combination of exclusion diet and prebiotics. "
"76","primary","GI symptoms.","PedsQL GI module",""
"79","primary","GI symptoms.","PedsQL GI module",""
"77","primary","Gastrointestinal symptoms.","Pediatric Quality of Life Inventory GI Module",""
"78","primary","Gastrointestinal symptoms.","Pediatric Quality of Life Inventory GI Module",""
"77","primary","Core symptoms and GI symptoms","ADOS-CSS","No differences in ADOS-CSS."
"78","primary","Core symptoms and GI symptoms","ADOS-CSS","No differences in ADOS-CSS."
"76","primary","Behavioral symptoms","DBC-P, TBPS",""
"79","primary","Behavioral symptoms","DBC-P, TBPS",""
"80","primary","Core symptoms","ABC-Taiwan version, SRS, CBCL","Subjects in the PS128 group showed nominal improvements in ABC-T-body and object use, SRS-total score, CBCL-anxiety and CBCL-rule breaking behavior. No significant between-group differences in most ABC-T subscales or CBCL subscales."
"81","primary","Sleep habits and quality of life.","Strengths and Difficulties Questionaire; Caregiver's quality of life","Prolonged release melatonin tx resulted in significant improvents in externalizing bx, Caregivers quality of life improved and correlated with the change in total SDQ."
"82","primary","Sleep habits.","SND-reported total sleep time","Melatonin treated participants slept an average of 57.5 minutes longer than placebo. "
"83","primary","Rage outbursts","Pattern of uncontrolled rage outbursts","Over 75% of patients showed marked improvement w/ usage of propranolol"
"84","primary","Executive functioning","BRIEF-SR, BRIEF-A, BRIEF-MCI, CANTAB SWM task","Baseline SWM total errors and BRIEF-MCI scores predicted treatment outcome. "
"85","primary","","Cambridge Neuropsychological Test Automated Battery (CANTAB) spatial working memory task",""
"86","primary","Irritability","ABC irritability","No time x treatment differences in resveratrol and placebo groups. "
"87","primary","Irritability","ABC-Irritability","No significant treatment effect on irritability."
"88","primary","Irritability","ABC-C Irritability score","There was a significantly greater improvement in ABC-C irritability scores in the riluzole tx group (p=0.03). "
"89","primary","Cognition","Sustained attention; hand-eye coordination; verbal learning; and spatial memory. Cancellation Task and Verbal Learning Task scores. ","There were no declines in attention, hand-eye coordination, or short term verbal memory. Significant improvement in the Cancellation Task and Verbal Learning Task scores in the treated group. "
"89","primary","Irritability","ABC irritability subscale","High dose risperidone treatment group had significant improvement in scores. Low dose and placebo had no difference in baseline to endpoint scores."
"90","primary","Irritability","Abberant Behavior Checklist- Irritability subscale (ABC-I)","Treatment with risperidone resulted in a higher rate of reduction in the irritability subscore than placebo. "
"91","primary","Irritability","ABC-C score","Irritability scores decreased for both treatment groups. More pts had decreased irritability scores in the buspirone group. "
"92","primary","Irritability","ABC- irritability subscale","The group treated with NAC had significant reductions in ABC irritability scores compared to placebo. "
"93","primary","Irritability","ABC- irritability subscale","The group treated with NAC had significant reductions in ABC irritability scores compared to placebo. "
"92","primary","Irritability","ABC-I subscale","The NAC treatment group experienced greater reduction in irritability scores than the placebo group. "
"93","primary","Irritability","ABC-I subscale","The NAC treatment group experienced greater reduction in irritability scores than the placebo group. "
"94","primary","","ABC-C ","The topiramate & risperidone treatment group had greater reductions in the irritability, hyperactivity/noncompliance, and stereotypy subscales. No significant group differences between placebo and topiramate in the lethargy/social withdrawal and inappropriate speech subscales."
"95","primary","Impulsivity, language skills, social relations.","ABC, PDD Scale scoress, Prolactine levels, RF-RLRS","""Risperidone was found to be more effective than haloperidol in treatment of behavioral symptoms, impulsivity, language skills, and impaired social relations�"" Risperidone: significant reduction in ABC and PDD scale scores, greater levels of prolactin, RF-RLRS decreased more in risperidone group. Haloperidol: greater increase in ALT"
"96","primary","Language","MSEL expressive language raw score, and age equivalent combined score","No significant group differences for primary outcomes. "
"97","primary","Social behaviors. ","Aberrant Behavior Checklist (ABC), Social Reponsiveness Scale (SRS), and Clinical Global Impression Improvement Scale (CGI-I)","Substantial improvements in ABC and SRS scores in the sulforaphane treatment group. "
"98","primary","","Clinical Global Impressions- Improvent and Severity Scales (CGI-I and CGI-S)","No differences in the CGI-I or CGI-S scores between the BH4 treatment group and the placebo group. "
"99","primary","","CARS, ABC, RBS-R","CARS scores reducted significantly after real tDCS."
"100","primary","Language process","CARS","Significant improvement in CARS in rTMS group. "
"101","primary","Irritability","ABC-C irritability subscale","No treatment difference. "
"102","primary","Social responsiveness and sensory processing.","Social Responsiveness Scale (SRS) and Sensory Processing Measures (SPM)","""Omega-3 LCPUFA with and without vitamin D may improve some core symptoms of ASD."" OM conjunct VIDOM showed greater scores than other groups.Trends for greater improvements; Vit D3: SRS-social communicative functioning, SPM-taste/smell; Omega 3: SRS-Total, SPM-balance/motion. "
"103","primary","Irritability and hyperactivity/noncompliance","ABC, BPI",""
