"id","treatment_name","duration","primary_outcome_area","primary_outcome_measures","results_primary_measure","journal_id"
"59","Juvenil",,"Gut microbiome","The etiology and mechanisms of autism and autism spectrum disorder (ASD) are not yet fully understood. There is currently no treatment for ASD for providing significant improvement in core symptoms. Recent studies suggest, however, that ASD is associated with gut dysbiosis, indicating that modulation of gut microbiota in children with ASD may thus reduce the manifestation of ASD symptoms. The aim of this pilot study (prospective randomized, double-blinded, placebo-controlled) was to evaluate efficacy of the biological response modifier Juvenil in modulating the microbiome of children with ASD and, in particular, whether Juvenil is able to alleviate the symptoms of ASD. In total, 20 children with ASD and 12 neurotypical children were included in our study. Supplementation of ASD children lasted for three months. To confirm Juvenil's impact on the gut microbiome, stool samples were collected from all children and the microbiome's composition was analyzed. This pilot study demonstrated that the gut microbiome of ASD children differed significantly from that of healthy controls and was converted by Juvenil supplementation toward a more neurotypical microbiome that positively modulated children's autism symptoms. ",,"179"
"60","Cognitive-Behavioral Therapy (CBT) + Social Skills Training (SST)",,"Social communication",,,"301"
"61","Anodal transcranial direct current stimulation (tDCS) over the left dorsolateral prefrontal cortex paired with cathodal transcranial direct current stimulation (tDCS) over an extracephalic location (atDCS_F3 + ctDCS_E)",,"Autism symptoms",,,"302"
"62","RUBI Parent Training for Disruptive Behaviors",,"Disruptive behaviours",,,"303"
"63","Adappt",,"Sense of ability to adapt",,,"162"
"64","Secret Agent Society Small Group (SAS: SG)",,"Emotion regulation",,,"306"
"65","Accelerated theta burst stimulation (ATBS)",,"Depressive symptoms","Hamilton Depression Rating Scale",,"6"
"66","Family Mediated Intervention (FMI) and Early Intensive Behavioural Intervention (EIBI)",,"ISAA","Indian Scale for Assessment of Autism","FMI was found to be non-inferior to EIBI at the end of 6 months as the lower bound of 95% CI (-18.41) for ISAA score was higher than NI margin. ISAA scores were found to be statistically lower in both FMI and EIBI groups at the end point compared to baseline which indicated improvement in symptom severity. FMI was non-inferior to EIBI as therapy for children with ASD at the end of six months. Finding also indicated longer duration of treatment is required for FMI to be superior. FMI can be recommended for children with ASD in view of improved ISAA scores reported in our study.","310"
"67","Parent-led cognitive behavioral therapy (CBT)",,"Anxiety","Anxiety, functional impairment, and autism features",,"311"
"68","Improving Parents as Communication Teachers (ImPACT) intervention",,"Social skills","SUCRA",,"272"
"69","Dialectical behavior therapy (DBT)",,"Suicidal ideation","suicidal ideation and suicide attempts",,"313"
"70","Continuous theta burst stimulation (cTBS) over left dorsolateral prefrontal cortex (DLPFC)",,"White matter macro/microstructure",,,"314"
"71","Heart Rate Variability Biofeedback (HRVB)",,"Adolescents with autism","Adolescents with autism present lower levels of cardiac vagal modulation. It was hypothesized that Heart Rate Variability Biofeedback (HRVB) increases cardiac vagal modulation in adolescents with autism, resulting in positive effects on physiological and psychosocial parameters. It was also hypothesized that home-based HRVB training is feasible. In a single-blind, randomized sham-controlled pilot trial, adolescents with autism performed supervised HRVB (n = 24) or sham training (n = 20). Subsequently, half of the adolescents received HRVB training at home, whereas the other subset did not practice. Physiological, cortisol and behavioral data were collected during stress-provoking assessments before and after each training period. Supervised HRVB resulted in a late increase in cardiac vagal modulation in adolescents with autism. Heart rate increased and cortisol decreased significantly immediately after supervised HRVB, but none of these effects remained after follow-up. Following supervised HRVB, no significant change in psychosocial functioning was found. Home-based HRVB was feasible, adolescents reported lower symptoms of stress, but a significant decrease in compliance rate was found. HRVB is feasible and effective in adolescents with autism given the late-emerging increases in cardiac vagal modulation and decrease in stress symptoms. Replicating this study with a larger sample and further exploration of the working mechanisms of HRVB are recommended. ClinicalTrials.gov, NCT04628715. ",,"315"
"72","Social Skills Intervention for Children with Autism Spectrum Disorder (SUCCESS)",,"Initiations to peers",,,"6"
"73","Oral encapsulated faecal microbiome transfer (FMT)",,"Gastrointestinal symptoms","Gastrointestinal Symptoms Rating Scale (GSRS) score",,"284"
"74","DINO Strategies for Anxiety and Uncertainty Reduction (DINOSAUR)",,"Anxiety",,,"318"
"75","Naturalistic Developmental Behavioral Intervention (NDBI)",,"Communication",,,"6"
"77","Recreational therapy",,,,,"321"
"78","CBT-DAY",,,,,"126"
"79","Autism intervention meta-analysis (Project AIM)",,,,,"87"
"81","Infra-Low Frequency (ILF) Neurofeedback",,,,,"326"
"82","Music Therapy",,,,,"283"
"84","PECS, DTT, PRT, TEACCH, ESDM, EIBI",,,,,"329"
"85","Acupuncture and behavioural therapy",,,,,"281"
"86","Ecological momentary intervention (EMI) + Ecological momentary assessment (EMA) + Mindfulness-based intervention (MBI)",,,,,"281"
"87","Awareness and Care for My Autistic Traits (ACAT) program + treatment-as-usual",,,,,"114"
"88","Virtual reality-incorporated cognitive behavioral therapy (VR-CBT) + learning style profile (LSP) intervention",,,,,"333"
"89","Mindfulness Parenting (MP)",,,,,"334"
"90","Acetylcholinesterase inhibitors",,,,,"335"
"91","Inhibitory repetitive transcranial magnetic stimulation (rTMS) over the left dorsolateral prefrontal cortex (DLPFC)",,,,,"167"
"92","School-based Facing Your Fears Cognitive Behavior Therapy Program for Anxiety in Autistic Youth",,,,,"126"
"93","Acceptance and Commitment Therapy (ACT) for Parents of Autistic Children, Youth, and Adults",,,,,"126"
"94","Remaking Recess",,,,,"339"
"95","Virtual reality treatment for social functioning and participation (VR-SOAP)",,,,,"162"
"96","Mindfulness-based stress reduction (MBSR)",,,,,"341"
"97","Acceptance and Commitment Therapy (ACT)-based psychological flexibility intervention programme for parents of children with autism and intellectual impairments",,,,,"342"
"98","Cognitive behavioral therapy (CBT) for children with autism and co-occurring anxiety",,,,,"6"
"100","Cognitive-behavioral therapy (CBT) for youth with autism spectrum disorder (ASD) and anxiety disorder (AD)",,,,,"8"
"101","Acceptance and commitment therapy (NeuroACT)",,,,,"126"
"102","Cognitive-behavioral therapy for emotion regulation in autistic adults",,,,,"281"
"103","Robot-assisted psychosocial intervention for children with Autism Spectrum Disorders (ASD)",,,,,"6"
"104","Internet-based parent-mediated intervention (PMI)",,,,,"350"
"105","Repetitive transcranial magnetic stimulation (rTMS)",,,,,"351"
"106","Cognitive-Behavioral Therapy (CBT) for Anxiety Disorders in Autistic Youth",,,,,"352"
"108","Cognitive-behavioral therapy (CBT) + bibliotherapy + family-based CBT (FB-CBT)",,,,,"6"
"109","Sleeping Sound Intervention for Autistic Children (Sleeping Sound)",,,,,"292"
"110","Transcranial magnetic stimulation (TMS)",,,,,"356"
"111","Mindfulness Cognitive Therapy (MBCT) and Dialectical Behavior Therapy (DBT)",,,,,"167"
"113","Empower-Autism",,,,,"162"
"114","Psychosocial interventions for individuals with Autism Spectrum Disorder (ASD)",,,,,"85"
"115","Deep brain stimulation (DBS), transcranial magnetic stimulation (TMS), transcranial direct current stimulation (tDCS), electro-convulsive therapy (ECT), and others",,,,,"302"
"116","Cognitive Behavioral Therapy (CBT) for Anxiety in Adolescents and Adults with Autism Spectrum Disorder (ASD) without Intellectual Disability (ID)",,,,,"6"
"117","Cannabis extract rich in cannabidiol (CBD)",,,,,"364"
"119","Citalopram",,,,,"9"
"120","Behavioral Parent Training (BPT) for challenging behaviors in children with autism spectrum disorder (ASD)",,,,,"6"
"121","Conventional treatment-based TCM interventions for autism spectrum disorder",,,,,"367"
"122","Acceptance and Commitment Therapy (ACT) for parents of children with autism spectrum disorder (ASD) and other disabilities (Navigator ACT)",,,,,"6"
"123","Transcranial direct current stimulation (tDCS) + cognitive remediation training (CRT)",,,,,"203"
