treatment_name,liquid_available,odt_available,first_author,doi,commercial_affiliation,publication_date,journal,study_type,duration,sample_size,gender_ratio,age_range,dose_range,primary_outcome_area,primary_outcome_measures,primary_results,secondary_outcome_area,secondary_outcome_measures,secondary_results,side_effects,safety_rating,dropout_rate,race_ethnicity,notes,sequence_generation_bias,allocation_concealment_bias,outcome_assessor_blinding_bias,clinician_blinding_bias,attrition_bias,reporting_bias,bias_notes
Atomoxetine,No,No,"Harfterkamp, Myriam ",,No conflicts of interest reported. ,"July 1, 2012",Child and Adolescent Psychiatry,Randomized Double-blind Placebo Controlled  ,8 weeks ,97,,6-17 years ,1.2 mg/dk/d,Attention and hyperactivity.,Attention and hyperactivity. ADHD Rating Scale (ADHD-RS),The scores improved significantly. ,Attention and hyperactivity., Clinical Global Impression of ADHD-score and Conners Teacher Rating Scale-Revised: Short Form score (CTRS-R:S),"The hyperactivity subscore imrpoved significantly, but not the other CTRS-R:S scores. There were not comparable improvements on the CGI-I scores. ","Side effects included nausea, decreased appetite, fatigue, and early morning awakening. Reported in 81.3% atomoxetine patients and 65.3% placebo patients. ",No serious adverse effects and well tolerated. ,,,"Could only access the abstract, will add the last bits of information when accessed. ",,,,,,,
Atomoxetine,No,No,"Harfterkamp, Myriam",,,"May 28, 2012",Journal of the American Academy of Child and Adolescent Psychiatry ,Randomized Double-blind Placebo Controlled ,8 weeks,97,,6-17 y,1.2 mg/kg/d,ADHD symptoms,ADHD Rating scale ,ADHD-RS scores improved in the atomoxetine tx group (40.7 to 31.6) compared to placebo.,Hyperactivity ,CGI of ADHD improvement and CTRS-R:S scores,"CTRS-R:S hyperactivity subscore improved w/ atomoxetine, no other subscores. No significant improvement on CGI-I. ","Well tolerated. Nausea, decrease in appetite, fatigue, and early morning awakening. ",No serious AEs,,,Trial for patients with ADHD and ASD (comorbid). https://www.jaacap.org/article/S0890-8567(12)00307-3/fulltext,,,,,,,
Atomoxetine,No,No,"Handen, Benjamin",,,"September 2, 2015",Journal of the American Academy of Child and Adolescent Psychiatry ,"Randomized, Double-blind, 2x2 trial of ATX and Parent Training, Placebo Controlled ",10 weeks,128,,5-14 y,max: 1.8 mg/kg/d,ADHD symptoms,parent-rated DSM ADHD symptoms on the SNAP scale and HSQ,"On the SNAP, Atomoxetine with and w/o parent training, and placebo w/ parent training, were superior to placebo. Atomoxetine tx groups had superior scores for non compliance. ",,,,Well tolerated. Decreased appetite.,,,,,,,,,,,
Baclofen +  Risperidone,Yes,No (baclofen) yes (risperidone),"Mahdavinsasab, Seyedeh-Mahsa",,No conflicts of interest reported. ,"April 12, 2019",European Child & Adolescent Psychiatry,Randomized Double-blind Placebo Controlled  ,10 weeks,64,46 M: 18 F,3-12 y; Mean: 8 y,Baclofen: 0.6 mg Kg^-1 3x/day; Max dose of Risperidone was 1 mg/d for pts under 20kg and 2 mg/d for pts 20 kgo,Irritability,ABC-irritability,"Baclofen adjuvant risperidone treatment showed significant improvement in ABC-irritability scores, as well as all other subscales. Specifically hyperactivity (refer to secondary results).",,ABC-C: all other subscales. ,"Pts treated with Baclofen and Risperidone had a greater improvement effect on hyperactivity symptoms than placebo and risperidone. The baclofen + risperidone group, showed significantly greater improvement in all ABC subscales (irritability, lethargy, stereotypic behavior, hyperactivity, and inappropriate speech)",Common side effects included increased appetite (21%) and vomiting (17%),No serious adverse events in either tx group. ,n=6 ,Not reported. ,"""TheA35:V35 present randomized-controlled trial provided the first clinical evidence of safety and efficacy of baclofen as an adjuvant to risperidone to improve hyperactivity symptoms in children with ASD."" There have been multiple trials with Baclofen in mice. As we",,,,,,,
Baclofen +  Risperidone,Yes,No (baclofen) yes (risperidone),"Mahdavinsasab, Seyedeh-Mahsa",10.1007/s00787-019-01333-5,No conflicts of interest reported. ,April 2019,European Child & Adolescent Psychiatry,Randomized Double-blind Placebo Controlled  ,10 weeks,64,46 M: 18 F,3-12 y; Mean: 8 y,Baclofen: 0.6mg Kg^-1 3x/day; Max dose of Risperidone was 1mg/day for pts under 20kg and 2mg/day for pts 20kg and over,Irritability,ABC-irritability,"Baclofen adjuvant risperidone treatment showed significant improvement in ABC-irritability scores, ","Lethargy/social withdrawal, stereotypy, and hyperactivity/noncompliance",ABC-C: all other subscales. ,Baclofen and risperidone treatment showed improvement on all subscales of the ABC (highest on hyperactivity),Increased appetite,No serious AEs,n=6 ,Not reported. ,"""TheA35:V35 present randomized-controlled trial provided the first clinical evidence of safety and efficacy of baclofen as an adjuvant to risperidone to improve hyperactivity symptoms in children with ASD."" There have been multiple trials with Baclofen in mice. As we",,,,,,,
Balovaptan,Yes,No,"Hollander, E",10.1001/jamapsychiatry.2022.1717,Hoffman-La Roche Ltd.,July 2022,JAMA Psychiatry,RCT,24 weeks,167,139 M: 28 F,5-17 y; mean: 12 y,4 mg or 10 mg,Social communication,Vineland-II 2DC,No significant improvement in any outcome measures.,Social communication,Vineland-II ABC; PedsQL; ABC lethargy/social withdrawal; CGI-I; CGI-S,No significant improvement in any secondary outcome measures.,Well tolerated,No serious AEs linked to balovaptan.,n=32,133 white; 10 Asian; 8 black/African American; 1 Pacific Islander; 13 multiple; 2 unknown,,Low risk - Randomized using interactive responce system.,Unclear risk - Tablets or liquid taken once per day. Matching for taste and color was not reported.,Low risk - Assessors were blinded.,Low risk - Clinicians and participants were blinded.,"Unclear risk - Most outcome data reported, but not ABC scores.",Low risk ,
Bumetanide,Yes,No,"Lemonnier, E",10.1038/tp.2012.124,No conflicts of interest. ,"December 11, 2012",Translational Psychiatry ,Randomized Double-blind Placebo Controlled  ,"4 months (3 month treatment, 1 month washout)",60,89% M; 11% F,3-11 y,0.5 mg BID,ASD Severity,CARS scores,"The group treated with Bumetanide had a significately lower score on the CARS test at endpoint, when removing the most severe cases of ASD in this group. This group shifted from extreme severity to mild/moderate severity. ",ASD severity,CGI and ADOS scores,"ADOS and CGI scores decreased moderately for the bumetanide treatment group, however it this treatment was less efficient with patients severely affected by autism. ",Limited side effects. Hypokalemia,Generally safe. ,n=6 ,not reported,,Unclear risk - randomization method not reported,"Low risk - Bumetanide and placebo were matched for smell, taste, and viscosity. ",Low risk - Independent evaluators were blinded. ,"Low risk - Participants and clinicians were blinded to the treatment allocation, the labeling of the medication was hidden.","Unclear risk - Scores from the outcome measures were reported. However, incidences of side effects were not.",Low risk - All measurement data was reported. ,
Bumetanide,Yes,No,"Dai, Yuan",https://doi.org/10.1016/j.scib.2021.01.008,No conflicts of interest,Dec-20,Science Bulletin,RCT,3 months,119,19 F: 100 M,3-6 y; mean: 4.03-4.22 y,0.5 mg BID,ASD Severity,CARS,Bumetanide treatment improved CARS scores. ,ASD severity,"ADOS, SRS, and CGI-I; Exploratory: GABA and glutamate concentrations within the IC",Bumetanide treatment was better at reducing insular GABA. No significant treatment group difference in ADOS scores. The bumetanide group had more CGI-I responders.,Well tolerated. Polyuria and mild hypokalemia,"No withdrawal from adverse events, no serious adverse events. Mild hypokalemia developed in some participants but was resolved with potassium supplementation.",n=3,not reported,,Low risk - Participants randomly assigned using a block randomization scheme,"Low risk - Bumetanide and placebo were identical in appearance, smell, and taste. ",Low risk - Assessors were blinded,Low risk - All clinicians and participants were blinded. ,"Unclear risk - Results for CGI-I outcome was reported as ""responder"" versus ""non-responder"". SRS scores not reported.",,
Bumetanide,Yes,No,"Sprengers, Jan",10.1016/j.jaac.2020.07.888,"ZonMW, NOW, Aspect Neuroprofiles BC",July 2020,Journal of the American Academy of Child & Adolescent Psychiatry,Randomized Double-blind Placebo Controlled ,91 days,92,63 M: 29 F,7-15 y; m= 10.5 y,"0.03 mg/kg BID for <30kg; 1.0 mg BID for 30 kgo - participants supplemented with potassium chloride: 0.5 mmol/kg if <30kg, or 8 mmol BID if 30 kgo",Severity of social communication and social interaction symptoms,SRS-2 total score,"No significant treatment effect for SRS-2 total scores. However, there was a significant treatment-by-age effect on the SRS-2.","Severity of restricted and repetitive behaviors, and behavioral responses to sensory stimuli",RBS-R; Sensory Profile (SP-NL); ABC-irritability,Significant treatment-by-sex effect on RBS-R. No effect on the SP-NL or ABC-I scores. ,"Well tolerated with mild to moderate AEs. Most common AEs: hypokalemia, dehydration, orthostatic hypotension, and diuresis. ",One serious AE of syncope after venipuncture requiring short term clinical observation. ,"n=4 (2 placebo, 2 bumetanide)",not reported,,Low risk - sequence generation overseen by third party using restricted randomization using permuted block design,"Low risk - Allocation was masked with a medication kit number given to participant. Bumetanide and placebo were matched for taste, smell, and viscosity.  ",Low risk - Outcome assessors were blinded. ,"Low risk - All participants, parents, and clinicians were blinded. All subjects were given the same instructions (increase fluid intake & identical potassium regimens)",Low risk - All assessment scores and statistics reported. ,Low risk - Significant and insignificant results reported. ,
Buspirone + risperidone,Yes,Yes,"Ghanizadeh, Ahmed",https://doi.org/10.1016/j.pediatrneurol.2014.09.017,,October 2014,Pediatric Neurology,RCT,8 weeks,40,,,mean: 6.7 mg/d (SD 2.7),Irritability,ABC ,Irritability scores decreased in both groups. ,,,,"Well tolerated. Increased appetite, drowsiness, fatigue",No serious AEs,n=6 ,,,,,,,,,
Buspirone,No,No (baclofen) yes (risperidone),"Chugani, Diane",,No conflicts of interest. ,March 2016,The Journal of Pediatrics,Randomized Double-blind Placebo Controlled  ,24 Weeks,166,29 F: 137 M,2-6 y,Placebo; 2.5mg (n=54) po BID; 5.0mg po BID (n=55) ,Restricted and repetitive behavior,ADOS Composite Total Score (ADOS-CTS),Significant improvement with time but no difference in scores between baseline and end of trial across the 3 treatment groups. ,,"RBS, Anxiety Composite, ADOS-SA and ADOS-RRB, CYBOCS, Vineland communication domain",ADOS-SA scores showed significant improvement with time. No difference between treatment groups. ADOS-RRB scores showed significant improvement in the 2.5mg treatment group. No change in scores for the placebo and 5.0mg groups. ,Pyrexia and irritability. There was no significant difference between side effects among the three groups. ,Generally safe. ,14%,1% American Indian/Alaska Native; 1% Asian; 31% Black/African American; 2% Hawaiian; 58% White; 7% Other,"This trial supports that lower dosage of buspirone could be more beneficial than higher doses in improving social competency, and reducing restrictive and repetitive behaviors in children with ASD.",Unclear risk - Study states that patients were randomized in blocks for age groups. ,Low risk - Placebo and busprione were dissolved into orasweet at either 2.5 mg or 5 mg.,Low risk -  Assessors were blinded. ,Low risk - All clinicians and participants were blinded to treatment group. ,Low risk - All outcome data was reported. ,"Low risk - All outcome measures were reported, even insignificant findings. ",
Cannabinoid (whole-plant cannabis extract and delta 9 THC; pure CBD and delta 9 THC),,,"Aran, Adi",10.1186/s13229-021-00420-2,BOL Pharma (Aran and Castellanos),2021,Molecular Autism,Randomized Double-blind Placebo Controlled   - Crossover,"24 weeks (12 week randomized, 12 week crossover)",150,80% M: 20% F,5-21 y (m: 11.8 y; SD: 4.1 y),20-40 kg: 1 mg/kg/d CBD and 0.5 mg/kg/d THC; 40 kgo: 7.5 mg/kg/d CBD and 0.375 mg/kd/d THC,Behavioral problems,Home Situation Questionnaire-ASD (HSQ-ASD); CGI improvement (CGI-I) with disruptive behavior anchor points,CGI-I was either much or very much improved in 49% of participants receiving whole-plant canninoids. Pure cannibinoid and placebo groups did not have signifcant effects on the CGI-I. HSQ-ASD did not have differences in any groups. ,"Social behavior, parent stress",SRS-2; Autism Parenting Stress Index (APSI),APSI did not have a treatment effect for cannabinoid compared to placebo groups. The median SRS total score improved more in cannibinoid group than placebo (p=0.009). ,Well tolerated. AEs: somnolence and decreased appetite,No serious AEs,n=18 ,not reported,,low risk - Randomization generated by external consulting firm (BioStats) and SAS statistical software for blocks. ,"low risk - Pure cannabinoid and whole-plant extract mixed with placebo to ensure concealment. All allocations packed in similar bottles with similar taste, color, and smell. Placebo solution was prepared with olive oil, oleoresin oregano, raspberry o.s, and paprika color to mimick the cannabinoid. ",low risk - The principal investigator and other team members were blinded throughout entire study. Code key was kept by the external consulting company (BioStats). ,"Low risk - All personnel, including clinicians and participants, were blinded through entire study. ",low risk - All outcomes reported in supplemental data file. ,Low risk - Insignificant results reported and noted. All outcomes reported in supplemental data file.,"Low risk of biases (as according to Cochrane) on all aspects of trial. Supplemental figures with detailed randomization, assessment, scores, adverse events, etc."
Celecoxib + risperidone,,,"Asadabadi, Mahtab",https://doi.org/10.1007/s00213-012-2796-8,No conflicts of interest,July 2012,Psychopharmacology,RCT,10 week,40,25 M: 15 F,5-11 y (m: 7.5 y),risperidone max: 3 mg/d; celecoxib max: 300 mg/d,Irritability,ABC-C irritability,Combination of risperidone and celecoxib showed greater improvement in irritability.,"Social communication, stereotypic behavior, hyperactivity/noncompliance",ABC-C: all other subscales. ,"Combination of risperidone and celecoxib showed greater improvement in lethargy/social withdrawal, and stereotypic behavior. No significant improvement in hyperactivity/noncompliance or inappropriate speech.","Side effects were the same for both risperidone + placebo, and risperidone + celecoxib. Increased appetite, sedation, nausea, insomnia",Generally safe,none,Not reported. ,,low risk - Computer generated randomization.,low risk - Allocation was sealed in opaque envelopes until data analysis.,low risk - Assessors were blinded.,"low risk - Patients, clinicians, and parents were blinded.",Low risk - All data reported ,"Low risk - All data reported, including insignificant results. ",Low risk
Citalopram,Yes (peppermint),Yes,"King, Bryan",,"National Institutes of Health, BioMarin, Neuropharm, Forest Labratories, Nastech, and Seaside Therapeutics, Bristol-Meyers Squibb, Abbott Labs, UCB Pharma, Shire, Pfizer, Johnson & Johnson",June 2009,Arch Gen Psychiatry,Randomized Double-blind Placebo Controlled  ,12 weeks,149,128 M: 21 F,"5-17, Mean: 9.4 years",10 mg/5mL; mean: 6.5 mg/d,,"Clinical Global Impressions, Improvement subscale scores",No significant differences in improvement of scores between placebo and citalopram treatment groups. ,Repetitive/obsessive behaviors., Children's Yale-Brown Obsessive Compulsive Scale scores,No difference in score reduction between the placebo and citalopram treatment groups. ,"16 subjects withdrew due to adverse events. AEs were more common in the citalopram treated group (97.3% reported at least 1). Most common side effects were increased energy, impulsiveness, decreased concentration, hyperactivity, stereotypy, diarrhea, insomnia, and dry skin. ","Two subjects treated with citalopram had seizures. One had a prior condition, the other had a ""prolonged seizure with loss of consciousness, and required emergency hospitalization"".",n=26 (13 in both groups),108 White; 17 Black; 1 Native Hawaiian; 2 American Indian/Alaska Native; 10 Other,Lack of efficacy of Citalopram in treatment of bx in ASD.,,,,,,,
D-cycloserine,,,"Urbano, Maria",10.1176/appi.neuropsych.13070155,,,,,,,,,,,,,,,,,,,,,,,,,,,
